index,ET_PenmanMonteith_Daily,ET_Abtew_Daily,ET_BlaneyCriddle_Daily,ET_BrutsaertStrickler_Daily,ET_ChapmanAustralia_Daily,ET_GrangerGrey_Daily,ET_SzilagyiJozsa_Daily,ET_Turc_Daily,ET_Hamon_Daily,ET_HargreavesSamani_Daily,ET_JensenHaise_Daily,ET_Linacre_Daily,ET_Makkink_Daily,ET_MattShuttleworth_Daily,ET_McGuinnessBordne_Daily,ET_Penman_Daily,ET_Penpan_Daily,ET_PriestleyTaylor_Daily,ET_Romanenko_Daily,ET_CRWE_Mon,ET_CRAE_Mon
2001-03-01,5.124416,4.339324,3.0259810000000003,2.340007,4.533034,2.394541,2.430731,4.156488,1.494548,4.5715580000000005,5.205102,4.446143,3.47235,2.802218,5.8355,6.827857000000002,8.180421,4.009323,9.285979,,
2001-03-02,5.025469,4.319191,3.029575,2.152466,4.425106,2.32842,2.259786,4.039958,1.387859,4.29431,4.921386,4.312248,3.384307,2.670803,5.529686,6.706816000000001,7.985651,3.866248,8.896204,,
2001-03-03,5.018805,4.2987769999999985,3.101377,2.448252,4.460548,2.395042,2.5275950000000003,4.173619,1.539119,4.265486,5.301135,4.395253,3.477415,2.832733,5.9110809999999985,6.715461,8.049610000000001,4.011443,9.426617,,
2001-03-04,5.234786,4.278085,2.965132,2.09789,4.6937419999999985,2.328649,2.273095,4.049131,1.3891440000000002,3.718762,4.987671,4.157524,3.382385,2.600804,5.5752190000000015,6.893728,8.470439,3.918319,8.224753,,
2001-03-05,5.943618,4.257121,3.5832650000000004,1.969964,5.356185,2.3485240000000003,2.032622,4.313941000000002,1.818717,5.402272,5.7819080000000005,5.362155,3.577517,2.877049,6.3822730000000005,7.5877089999999985,9.665899,4.164981,10.57371,,
2001-03-06,8.771989999999999,4.23589,4.991193,-0.414367,8.189373,2.418213,-4.6422089999999985,4.62302,2.386401,4.594136,6.964781,9.068964,3.825352,2.772828,7.586346000000002,10.10916,14.77874,4.109429,16.828960000000002,,
2001-03-07,6.303153,4.214397,4.1627589999999985,1.113101,5.781276,2.163926,0.9424015,4.392084,1.988678,4.782191,6.118981,7.451314999999999,3.633377,2.768716,6.702098,7.964539,10.43303,3.912342,14.0437,,
2001-03-08,7.767794,4.192648,4.553796,-0.05868487,7.165044,2.2084900000000003,-0.4695785,4.419179,2.051721,4.396391,6.258737,8.030884,3.652426,2.616153,6.83147,9.220216,12.93021,3.894117,14.6947,,
2001-03-09,8.036245,4.170648,4.935495,-0.8545642,7.4469910000000015,2.130125,-2.325792,4.456813,2.203042,4.816449,6.446459,9.855573,3.680422,2.475259,7.009359,9.440369,13.43902,3.600735,17.3698,,
2001-03-10,5.73557,4.148404,3.3235940000000004,1.333797,5.215896,2.128162,1.4643620000000002,4.01619,1.478404,3.679207,5.045895,4.3038680000000005,3.333035,2.443078,5.563556,7.3438539999999985,9.41273,3.747284,9.208359,,
2001-03-11,4.926567,4.125921,2.848642,1.575405,4.40817,2.09111,1.7387990000000002,3.765661,1.237031,3.358693,4.433381,4.075035,3.151046,2.28953,4.926614,6.519826,7.955088000000001,3.5040910000000003,7.889467,,
2001-03-12,4.7549470000000005,4.103206,2.582682,1.461778,4.32942,2.0594080000000003,1.690829,3.623533,1.114988,3.381928,4.132797,3.681912,3.051153,2.121371,4.609457,6.398766,7.812974,3.39543,6.957736,,
2001-03-13,3.795649,4.080266,2.156669,2.270462,3.292787,2.218946,2.5346450000000003,3.506089,1.065346,3.105414,3.903717,3.475776,2.970379,2.289091,4.366031,5.302345,5.942242,3.3081940000000003,6.424828,,
2001-03-14,4.650771,4.057109,2.875168,1.568319,4.1035309999999985,2.0139150000000003,1.650999,3.725608,1.297983,3.801777,4.398452,4.457478,3.107809,2.316351,4.857671,6.217388,7.405328999999999,3.372049,8.605069,,
2001-03-15,6.126884,4.03374,3.871804,0.05290002,5.505586,1.836904,-0.04023885,3.940408,1.592939,5.278054,4.9743,6.919228,3.25562,2.222556,5.429557,7.666782,9.935512,3.274428,12.24973,,
2001-03-16,6.253421,4.010168,3.918605,0.1271401,5.800824,1.919918,0.31466,3.815691,1.41644,3.725087,4.665676,4.61321,3.160388,2.099587,5.105311,7.888652,10.46831,3.406129,9.342163,,
2001-03-17,3.519855,3.9864,1.889181,2.410088,3.165413,2.263252,2.794131,3.354965,0.9959715,3.109974,3.660588,2.520255,2.851271,2.086107,4.07957,5.0190790000000005,5.7123800000000005,3.248185,4.4761989999999985,,
2001-03-18,3.080545,3.962444,1.638051,3.114519,2.647645,2.529339,3.605488,3.376303,1.050188,2.942776,3.714791,2.172664,2.857393,2.335867,4.124215,4.434313,4.778004,3.331725,3.699489,,
2001-03-19,3.34249,3.938308,2.127994,2.809029,2.899843,2.3610580000000003,3.14573,3.505367,1.166421,3.11691,3.995111,2.7608,2.932273,2.402097,4.395882,4.771709,5.233125,3.334556,5.392241,,
